Num  Name,Epoch,q,e,i,w,Node,Tp,Ref,
C/2005 L12 (SOHO),53534,0.0042,1,144.65,75.87,354.57,20050612.69,SAO,_2008
C/2005 L13 (SOHO),53533,0.0073,1,138.48,59.31,334.5,20050612.49,SAO,_2008
C/2005 L14 (SOHO),53534,0.0053,1,143.71,86.31,7.7,20050613.05,SAO,_2008
C/2005 L15 (SOHO),53538,0.0048,1,142.96,57.64,334,20050617.07,SAO,_2008
C/2005 M2 (SOHO),53538,0.0048,1,144.19,81.36,1.26,20050617.04,SAO,_2008
C/2005 M3 (SOHO),53541,0.0355,1,88.99,247.5,140.98,20050619.8,SAO,_2008
C/2005 M4 (SOHO),53542,0.0048,1,143.26,83.86,4.47,20050621.21,SAO,_2008
C/2005 M5 (SOHO),53542,0.0048,1,144.93,63.18,341.52,20050621.41,SAO,_2008
C/2005 M6 (SOHO),53546,0.0049,1,145.41,62.25,341.9,20050625.18,SAO,_2008
C/2005 M7 (SOHO),53547,0.0048,1,144.81,68.36,347.55,20050626.39,SAO,_2008
C/2005 M8 (SOHO),53549,0.0065,1,146.71,55.76,337.42,20050628.17,SAO,_2008
C/2005 M9 (SOHO),53549,0.0048,1,144.64,67.16,345.73,20050628.49,SAO,_2008
C/2005 M10 (SOHO),53551,0.0051,1,145,66.05,346,20050629.79,SAO,_2008
C/2005 N1 (Juels-Holvorcem),53666,1.12544729,0.99845714,51.18017,80.04571,3.24034,20050822.04,JPL,32
C/2005 N4 (Catalina),53565,2.30376637,0.96065665,116.63031,136.54595,64.03664,20050702.6,JPL,10
C/2005 N5 (Catalina),53630,1.62739897,0.94327134,21.37876,207.76519,156.41134,20050822.68,JPL,26
C/2005 N6 (SOHO),53558,0.0051,1,145.55,63.86,344.03,20050706.68,SAO,_2008
C/2005 N7 (SOHO),53564,0.0048,1,144.42,85.72,6.93,20050713.07,SAO,_2008
C/2005 N8 (SOHO),53564,0.0049,1,133.68,98.51,15.58,20050713.33,SAO,_2008
C/2005 N9 (SOHO),53565,0.0049,1,144.46,73.64,353.94,20050714.44,SAO,_2008
C/2005 N10 (SOHO),53565,0.0058,1,138.69,69.58,344.17,20050714.08,SAO,_2008
C/2005 O1 (NEAT),53593,3.59091052,0.92951281,155.98082,324.74214,304.79921,20050517.37,JPL,11
C/2005 O2 (Christensen),53637,3.33357704,0.85938234,148.89205,263.83389,280.77139,20050908.45,JPL,17
C/2005 O3 (SOHO),53575,0.005,1,144.1,80.61,0.93,20050723.59,SAO,_2008
C/2005 O4 (SOHO),53576,0.0051,1,144.82,83.46,4.88,20050725.01,SAO,_2008
C/2005 O5 (SOHO),53577,0.0361,1,74.41,60.68,67.93,20050726.29,SAO,_2008
C/2005 O6 (SOHO),53578,0.0048,1,144.34,75.93,356.56,20050727.31,SAO,_2008
C/2005 P1 (SOHO),53589,0.0049,1,144.54,85.08,6.32,20050806.53,SAO,_2008
C/2005 P2 (SOHO),53588,0.0048,1,144.43,79.28,357.47,20050806.11,SAO,_2008
C/2005 P3 (SWAN),53619,0.52577202,0.9877131,89.70752,32.14627,242.77842,20050809.75,JPL,14
C/2005 P4 (SOHO),53594,0.0048,1,143.97,81.35,1.47,20050812.05,SAO,_2008
C/2005 P5 (SOHO),53595,0.0049,1,141.82,97.26,16.35,20050813.38,SAO,_2008
C/2005 P6 (SOHO),53597,0.005,1,143.88,77.62,359.19,20050814.73,SAO,_2008
C/2005 Q1 (LINEAR),53758,6.40839389,1.00432562,105.19164,44.69085,87.73173,20050825.51,JPL,26
C/2005 Q2 (SOHO),53605,0.0377,1,74.51,58.53,76.48,20050823.21,SAO,_2008
C/2005 Q3 (SOHO),53612,0.0253,1,43.52,93.72,70.89,20050830.33,SAO,_2008
C/2005 Q5 (SOHO),53601,0.0048,1,144.55,85.52,7.08,20050818.68,SAO,_2008
C/2005 Q6 (SOHO),53601,0.0387,1,50.4,299.54,156.59,20050819.23,SAO,_2008
C/2005 Q7 (SOHO),53608,0.0048,1,143.97,81.4,1.38,20050825.63,SAO,_2008
C/2005 Q8 (SOHO),53607,0.0377,1,72.42,58.37,77.2,20050825.37,SAO,_2008
C/2005 Q9 (SOHO),53613,0.0051,1,144.71,84.05,5.66,20050830.82,SAO,_2008
C/2005 Q10 (SOHO),53613,0.0048,1,144.21,79.15,1.18,20050831.22,SAO,_2008
P/2005 R1 (NEAT),53664,2.04707706,0.62805903,15.39578,117.94892,259.06552,20051008.41,JPL,22
C/2005 R4 (LINEAR),53778,5.18847268,0.99748985,164.0126,6.88679,63.77165,20060308.02,JPL,33
C/2005 R5 (SOHO),53619,0.0051,1,143.62,80.85,357.96,20050906.48,SAO,_2008
C/2005 R6 (SOHO),53620,0.0053,1,142.24,90.06,3.29,20050906.93,SAO,_2008
C/2005 R7 (SOHO),53630,0.0049,1,144.12,78.09,359.63,20050916.57,SAO,_2008
C/2005 S1 (SOHO),53642,0.0048,1,144.2,78.66,2.01,20050929.29,SAO,_2008
P/2005 S2 (Skiff),53618,6.39819274,0.19667593,3.14104,229.91827,161.27206,20060630.52,JPL,9
C/2005 S4 (McNaught),54256,5.85010874,0.99897249,107.95897,31.45381,318.2903,20070718.65,JPL,65
C/2005 S5 (SOHO),53632,0.0048,1,132.02,53.53,311.81,20050919.43,SAO,_2008
C/2005 S6 (SOHO),53634,0.0048,1,144.11,76.86,0.03,20050921.28,SAO,_2008
C/2005 S7 (SOHO),53637,0.0048,1,144.11,83.26,8.13,20050923.98,SAO,_2008
C/2005 S8 (SOHO),53637,0.0049,1,144.22,85.79,7.89,20050924.43,SAO,_2008
C/2005 S9 (SOHO),53638,0.0098,1,144.67,72.1,4.21,20050925.26,SAO,_2008
C/2005 S10 (SOHO),53639,0.0052,1,144.09,76.62,359.92,20050925.56,SAO,_2008
C/2005 S11 (SOHO),53639,0.0089,1,145.39,71.61,6.64,20050925.97,SAO,_2008
C/2005 S12 (SOHO),53640,0.0069,1,145.12,82.88,5.09,20050926.89,SAO,_2008
C/2005 S13 (SOHO),53644,0.0073,1,144.65,83.77,6.31,20050930.66,SAO,_2008
P/2005 SB216 (LONEOS),54296,3.81826562,0.4632081,24.09843,83.56994,1.69287,20070211.3,JPL,48
P/2005 T2 (Christensen),53663,2.21119736,0.42194022,8.33784,58.36187,260.61982,20050411.31,JPL,9
P/2005 T3 (Read),53667,6.20158814,0.17406623,6.26141,8.24578,27.99522,20060113.58,JPL,8
P/2005 T4 (SWAN),53667,0.64939944,0.93029706,160.03618,41.44353,25.42229,20051010.54,JPL,6
P/2005 T5 (Broughton),53673,3.24680446,0.5524476,21.37244,304.51477,57.07082,20051103.52,JPL,12
C/2005 T6 (SOHO),53646,0.0061,1,143.98,76.89,3.27,20051002.55,SAO,_2008
C/2005 T7 (SOHO),53648,0.0048,1,144.41,76.75,358.09,20051005.11,SAO,_2008
C/2005 T8 (SOHO),53650,0.0052,1,145.25,80.4,3.3,20051007.22,SAO,_2008
C/2005 T9 (SOHO),53651,0.0368,1,72.51,56.03,75.23,20051008.28,SAO,_2008
C/2005 T10 (SOHO),53658,0.0051,1,145.16,84.94,3.3,20051015.09,SAO,_2008
